ID,SYEAR,EYEAR,LON,LAT,DIR
AU-Sam,2011,2017,152.8778076,-27.38809967,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
AU-Stp,2010,2017,133.3502045,-17.15069962,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
AU-TTE,2013,2017,133.6399994,-22.28700066,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
AU-Tum,2002,2017,148.1517029,-35.65660095,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
AU-Whr,2015,2016,145.0294037,-36.6731987,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
AU-Wrr,2016,2017,146.6544952,-43.09502029,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
AU-Ync,2011,2017,146.2906952,-34.98929977,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
BE-Bra,2004,2014,4.520559788,51.30916595,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
BE-Lon,2005,2014,4.74612999,50.55158997,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
BE-Vie,1997,2014,5.998050213,50.30506897,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
BR-Sa3,2001,2003,-54.97143555,-3.018029213,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
BW-Ma1,2000,2000,23.56032944,-19.91650009,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
CA-NS1,2003,2003,-98.48390198,55.87919998,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
CA-NS2,2002,2004,-98.52469635,55.90579987,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
CA-NS4,2003,2004,-98.38059998,55.91439819,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
CA-NS5,2003,2004,-98.48500061,55.86309814,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
CA-NS6,2002,2004,-98.96440125,55.91669846,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
CA-NS7,2003,2004,-99.94830322,56.63579941,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
CA-Qcu,2002,2006,-74.03652954,49.2670784,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
CA-Qfo,2004,2010,-74.34210205,49.69250107,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
CA-SF1,2004,2006,-105.8175964,54.48500061,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
CA-SF2,2003,2005,-105.8775024,54.25389862,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
CA-SF3,2003,2005,-106.0053024,54.09159851,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
CH-Cha,2006,2014,8.410440445,47.21022034,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
CH-Dav,1997,2014,9.855919838,46.81533432,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
CH-Fru,2007,2014,8.537779808,47.11583328,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
CH-Oe1,2002,2008,7.731939793,47.28583145,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
CN-Cha,2003,2005,128.0957947,42.40250015,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
CN-Cng,2008,2009,123.509201,44.59339905,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
CN-Dan,2004,2005,91.06639862,30.49780083,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
CN-Din,2003,2005,112.5361023,23.17329979,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
CN-Du2,2007,2008,116.2835999,42.04669952,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
CN-HaM,2002,2003,101.1800003,37.36999893,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
CN-Qia,2003,2005,115.0580978,26.74139977,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
CZ-wet,2007,2014,14.77035046,49.02465057,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
DE-Bay,1997,1999,11.86693954,50.14194107,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
DE-Geb,2001,2014,10.91429996,51.10010147,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
DE-Gri,2004,2014,13.51253033,50.94947052,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
DE-Hai,2000,2012,10.45300007,51.07916641,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
DE-Kli,2005,2014,13.52237988,50.89305878,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
DE-Meh,2004,2006,10.65546989,51.27531052,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
DE-Obe,2008,2014,13.72128963,50.78665924,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
DE-Seh,2008,2010,6.449649811,50.87062454,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
DE-SfN,2013,2014,11.32750034,47.80638885,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
DE-Tha,1998,2014,13.56694031,50.9636116,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
DE-Wet,2002,2006,11.45753002,50.45349884,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
DK-Fou,2005,2005,9.587220192,56.48419952,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
DK-Lva,2005,2006,12.08329964,55.68330002,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
DK-Ris,2004,2005,12.09722042,55.53028107,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
DK-Sor,1997,2014,11.64463997,55.48587036,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
DK-ZaH,2000,2013,-20.5503006,74.47319794,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
ES-ES1,1999,2006,-0.318809986,39.34597015,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
ES-ES2,2005,2006,-0.31527999,39.27555847,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
ES-LMa,2004,2006,-5.773359776,39.9426918,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
ES-LgS,2007,2007,-2.965830088,37.09793472,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
ES-VDA,2004,2004,1.448500037,42.15217972,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
FI-Hyy,1996,2014,24.29500008,61.84749985,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
FI-Kaa,2000,2002,27.29503059,69.14069366,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
FI-Lom,2007,2009,24.20918083,67.99720001,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
FI-Sod,2008,2014,26.63783073,67.36186218,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
FR-Fon,2005,2013,2.780139923,48.47639847,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
FR-Gri,2005,2013,1.951910019,48.84421921,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
FR-Hes,1997,2006,7.065559864,48.67416,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
FR-LBr,2003,2008,-0.769299984,44.71710968,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
FR-Lq1,2004,2006,2.735830069,45.64305878,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
FR-Lq2,2004,2006,2.737030029,45.63919067,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
FR-Pue,2000,2014,3.595829964,43.74139023,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
GF-Guy,2004,2014,-52.92485809,5.278771877,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
HU-Bug,2003,2006,19.60129929,46.69110107,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
ID-Pag,2002,2003,113.9000015,-2.319999933,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
IE-Ca1,2004,2006,-6.918139935,52.85879135,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
IE-Dri,2003,2005,-8.751810074,51.98669052,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
IT-Amp,2003,2006,13.60515976,41.90409851,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
IT-BCi,2005,2010,14.95744038,40.5237999,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
IT-CA1,2012,2013,12.02655983,42.38040924,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
IT-CA2,2012,2013,12.02604008,42.37722015,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
IT-CA3,2012,2013,12.02219963,42.38000107,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
IT-Col,2007,2014,13.58813953,41.84936142,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
IT-Cpz,2001,2008,12.37611008,41.70524979,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
IT-Isp,2013,2014,8.633580208,45.81264114,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
IT-LMa,2003,2004,7.582590103,45.15258026,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
IT-Lav,2005,2014,11.28131962,45.95619965,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
IT-MBo,2003,2012,11.04582977,46.01467896,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
IT-Mal,2003,2003,11.70333958,46.1140213,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
IT-Noe,2004,2014,8.151689529,40.60617828,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
IT-Non,2002,2002,11.0910902,44.69018936,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
IT-PT1,2003,2004,9.061039925,45.20087051,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
IT-Ren,2010,2013,11.43369007,46.58686066,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
IT-Ro1,2002,2006,11.93000984,42.4081192,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
IT-Ro2,2002,2008,11.92092991,42.39025879,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
IT-SR2,2013,2014,10.29090977,43.73202896,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
IT-SRo,2003,2012,10.28444004,43.7278595,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
JP-SMF,2003,2006,137.0787964,35.26169968,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
NL-Ca1,2003,2006,4.927000046,51.97100067,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
NL-Hor,2008,2011,5.07130003,52.24034882,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
NL-Loo,1997,2013,5.743559837,52.1665802,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
PL-wet,2004,2005,16.30940056,52.7621994,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
PT-Esp,2002,2004,-8.601799965,38.63940048,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
PT-Mi1,2005,2005,-8.000060081,38.54064178,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
PT-Mi2,2005,2006,-8.024550438,38.47650146,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
RU-Che,2003,2004,161.3414307,68.61303711,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
RU-Fyo,2003,2014,32.92208099,56.46152878,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
SD-Dem,2005,2009,30.47830009,13.28289986,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
SE-Deg,2002,2005,19.55653954,64.18196869,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
UK-Gri,2000,2001,-3.79805994,56.6072197,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
UK-Ham,2004,2004,-0.858299971,51.15353012,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
UK-PL3,2005,2006,-1.266669989,51.45000076,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
US-AR1,2010,2012,-99.41999817,36.42670059,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
US-AR2,2010,2011,-99.59750366,36.63579941,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
US-ARM,2003,2012,-97.48880005,36.60580063,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
US-Aud,2003,2005,-110.509201,31.59070015,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
US-Bar,2005,2005,-71.28807831,44.06464005,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
US-Bkg,2005,2006,-96.83616638,44.34529114,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
US-Blo,2000,2006,-120.6327515,38.89530182,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
US-Bo1,1997,2006,-88.29039764,40.00619888,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
US-Cop,2002,2003,-109.3899994,38.09000015,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
US-FPe,2000,2006,-105.1018982,48.30770111,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
US-GLE,2009,2014,-106.2398987,41.36650085,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
US-Goo,2004,2006,-89.87349701,34.25469971,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
US-Ha1,1992,2012,-72.17150116,42.53779984,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
US-Ho1,1996,2004,-68.74019623,45.20410156,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
US-KS2,2003,2006,-80.67153168,28.60857773,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
US-Los,2000,2008,-89.97920227,46.08269882,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
US-MMS,1999,2014,-86.4131012,39.32320023,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
US-MOz,2005,2006,-92.20001221,38.74411011,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
US-Me2,2002,2014,-121.5574036,44.45230103,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
US-Me4,1996,2000,-121.6223984,44.49919891,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
US-Me6,2011,2014,-121.6078033,44.32329941,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
US-Myb,2011,2014,-121.7650986,38.04980087,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
US-NR1,1999,2014,-105.546402,40.03290176,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
US-Ne1,2002,2012,-96.47660065,41.1651001,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
US-Ne2,2002,2012,-96.4701004,41.16490173,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
US-Ne3,2002,2012,-96.43969727,41.17969894,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
US-PFa,1995,2014,-90.27230072,45.94589996,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
US-Prr,2011,2013,-147.4875946,65.123703,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
US-SP1,2005,2005,-82.21877289,29.73806953,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
US-SP3,1999,2004,-82.16327667,29.75477028,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
US-SRG,2009,2014,-110.8276978,31.7894001,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
US-SRM,2004,2014,-110.8659973,31.82139969,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
US-Syv,2002,2008,-89.34770203,46.24200058,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
US-Ton,2001,2014,-120.9660034,38.43159866,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
US-Tw4,2014,2014,-121.6413269,38.10274506,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
US-Twt,2010,2014,-121.6530991,38.1086998,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
US-UMB,2000,2014,-84.71379852,45.55979919,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
US-Var,2001,2014,-120.9507599,38.41329956,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
US-WCr,1999,2006,-90.07990265,45.80590057,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
US-Whs,2008,2014,-110.0522003,31.74379921,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
US-Wkg,2005,2014,-109.9419022,31.73649979,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
ZA-Kru,2000,2002,31.49690056,-25.0196991,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
ZM-Mon,2008,2008,23.25278091,-15.43777847,/tera03/zhwei/Validation_Data/stn_obs/FLUXNET/FLUXNET_PLUMBER2/flux/
